"fecha","unidad","descrubicacion","ubicacion","departamento","violencia","tamano","electoral","observaciones","numpolicias","nummilitares","toma","grupo","desalojo","lon","lat","location"
2017-11-14,"UMEP-09 La Lima","Peaje boulevard Este, Colonia Guadalupe","San Manuel","Cortes","Pacifica","3","No","Protesta por el cobro del peaje se mantiene dispositivo de seguridad para prevención",4,0,"No",NA,"Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
2017-11-14,"UMEP-10 Choloma","Barrio El Centro","Choloma","Cortes","Pacifica","45","No","Caminata personas incluyendo autoridades locales e institucionales educativas desplazandose desde la Gasolinera Texaco hasta Parque Central conmemorando el 14 de noviembre dia mundial contra la diabetes",NA,0,"No","Autoridades locales y educativas","Ninguno",-87.9432837,15.596502,"15.596502,-87.9432837"
2017-11-16,"UMEP-09 La Lima","Peaje boulevard del Este, colonia Guadalupe","San Manuel","Cortes","Pacifica","4","No","Protesta por el cobro del peaje se mantiene dispositivo de seguridad para prevención",6,0,"Si","organizaciones del Progreso, Yoro","Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
2017-11-16,"UDEP-06 Choluteca","Frente a la empresa CUASA","Aldea Malpaso, Orocuina","Choluteca","Pacifica","200","No","Toma carretera frente empresa Cuasa cultivo agrícola de sábila por empleados de la misma exigen el pago de la quincena del mes actual por no haberse efectuado",NA,0,"Si","Empleados de la empresa CUASA","Ninguno",NA,NA,"NA,NA"
2017-11-16,"UDEP-12 La Paz","Instituto Politécnico Doctor Doroteo Varela","Aldea Yaramela, La Paz","La Paz","Pacifica","35","No","Estudiantes exigen la recuperación de materias aplazadas, no aceptan reglamento de educación",NA,0,"No","Estudiantes del Instituto Politécnico Doroteo Varela","Ninguno",NA,NA,"NA,NA"
2017-11-21,"UMEP-09 La Lima","Aldea Metálica","Aldea Metalica y Tibombo, La Lima","Cortes","Pacifica","50","No","Trabajadores de la planta bananera en pequeña producción AGROMESA S.A. ya que son empleados temporales y buscan permanencia llegando a un acuerdo ambas partes",8,0,"No","Trabajadores temporales de AGROMESA","Ninguno",NA,NA,"NA,NA"
2017-11-23,"UMEP-09 La Lima","Peaje boulevard Este, Colonia Guadalupe","San Manuel","Cortes","Pacifica","3","No","Protesta por el cobro del peaje se mantiene dispositivo de seguridad para prevención",5,0,"No","organizaciones del Progreso, Yoro","Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
2017-11-24,"UMEP-1 Los Dolores","Colonia Los Castaños afueras de la Penitenciaría","Tegucigalpa","Francisco Morazan","Pacifica","400","No","Familiares de los privados de libertad que se encuentran en los diferentes centros penales pidiendo puedan ingresar medicinas y pastores evangélicos",56,0,"No",NA,"Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-24,"UMEP-09 La Lima","Peaje boulevard del Este, colonia Guadalupe","San Manuel","Cortes","Pacifica","2","No","Dos residentes de la colonia La Guadalupe protestan por el cobro del peaje, se mantiene un dispositivo de seguridad como medida previsora",NA,0,"No",NA,"Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
2017-11-25,"UMEP-09 La Lima","Peaje boulevard del Este, colonia Guadalupe","San Manuel","Cortes","Pacifica",NA,"No","Protesta personas originarias del lugar en mención por el cobro del peaje se mantiene dispositivo de seguridad para prevención",6,0,"No",NA,"Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
